"



加油加油，你们也非常棒
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,球场上文艺青年
"



猪头叫你小K神，继续努力，争取早日上位真K神。




",下次加油吧，我们还是弟弟，是真的打不过,舞的海
"



说实话之前没怎么听说过VTA这只队伍，但是这次PCPI比赛让我们这些路人记住了你们队伍，敢打敢拼，强队风范，未来可期。这次只是起点，未来你们会更好。加油！！！




",下次加油吧，我们还是弟弟，是真的打不过,NeuJay
"



真的很棒了。最后一把太紧张了吧。不然很有机会的
发自虎扑Android客户端



",下次加油吧，我们还是弟弟，是真的打不过,丶凉了时光病了心
"



引用99楼 @17_入戏丷 发表的:真的。最后一把你们vta四个队员所表现的心态还有临场决策。真的是17四个小伙子应该学习的地方。国服将出。未来必有你们一席之地。加油↖(^ω^)↗打到最后一把了，我们分离17那么多分，就是想恭喜17去德国了，说实话，我们去德国，还是差一点东西
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,Capenter卡迪
"



最后两把是没顶住，其实我们开始没有对冠军有太多的渴望，但是第一天打完就是很渴望拿冠军，和17打了两天，打到了最后一把。。其实最难受的还是17，但是4am绝地大反击，电子竞技嘛，实力说话，不得不服，我们还是缺少了太多
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,Capenter卡迪
"



引用73楼 @fdfw333333 发表的:我觉得打的真的很好 但最后一把是不能下水的 下水就等于第一没了最后一把我们是想保第二，想找4am打，能打死一个是一个，但是找不到
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,Capenter卡迪
"



引用85楼 @川味龙虾 发表的:加油，之前我只是认为你们队伍kadi的枪法好，98k厉害，现在看到你们队伍的整体，转移都是数一数二，会持续关注你们队伍(o^^o)，加油，你们以后也要冠军你不会相信。。这个比赛打的我再也不想打狙了
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,Capenter卡迪
"



印象很深刻 你们真的很棒 值得我们学习！加油小K神
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,mifengaaa
"



引用149楼 @新一0229 发表的:kadi是VTA枪法最好的了，整个队伍在转移策略方面相当的牛逼，印象深刻的就是厕所一条街绕北面转移，让我刮目相看。。。。真的，这队伍的指挥太牛逼了。加强一下其他人的能力，绝对前途很好这把如果转移的时候没有被17打下来两个人，我们那把有可能吃鸡
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,Capenter卡迪
"



引用120楼 @Capenter卡迪 发表的:打到最后一把了，我们分离17那么多分，就是想恭喜17去德国了，说实话，我们去德国，还是差一点东西下次加油！！！ fpp 3s差800分没放弃！tpp 4am差500分没放弃！我相信你们也可以的！体育竞技只有第一，没有第二啊！vta加油，希望下次比赛时你们还在！
发自手机虎扑 m.hupu.com



",下次加油吧，我们还是弟弟，是真的打不过,hp416206
"



引用81楼 @Capenter卡迪 发表的:最后一把我们是想保第二，想找4am打，能打死一个是一个，但是找不到这种心态就不行了呀！感觉每个人都得争第一。想打也是找17打啊
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,汪汪月亮窄窄床a
"



引用277楼 @日照不足往返持久跑 发表的:最后一把真的不该放弃追第一的，如果把保第二的想法换成争第一的想法可能就打掉4am，即使没吃鸡也保住第二了我们那个圈刷走了，冲不进去了
发自虎扑iPhone客户端



",下次加油吧，我们还是弟弟，是真的打不过,Capenter卡迪
"



一般说萌新或者小白一枚，你这是我全都要啊
发自虎扑iPhone客户端



",小新：大家一般都用什么加速器，付上效果和价格,阿良良木厉
"



大哥:MMP，原来是你。
发自手机虎扑 m.hupu.com



",OMG笑容微博:谢谢大家支持，以前组队去狙击过大哥，德国加油。,李李李哈lbj
"



安慰的了别人却安慰不了自己。。。
发自虎扑Android客户端



",OMG笑容微博:谢谢大家支持，以前组队去狙击过大哥，德国加油。,我不懂这些道理
"



这心理调整能力，真心牛啊。加油加油！好好复盘好好总结！柏林赛争取冠军啊！
发自虎扑iPhone客户端



",OMG笑容微博:谢谢大家支持，以前组队去狙击过大哥，德国加油。,抽象游戏
"



猪头是周泰，倒了还能救。
发自虎扑Android客户端



",都来讨论下，用三国武将来对应如今的职业选手，你觉得谁像谁？,挠头侠
"



除了211的个人战斗力和经历可以完美对应吕布之外，其他的都没啥意思




",都来讨论下，用三国武将来对应如今的职业选手，你觉得谁像谁？,请保持幽默感
"



切，全民是于吉或者左慈，你们这些凡人




",都来讨论下，用三国武将来对应如今的职业选手，你觉得谁像谁？,无所谓咯你
"



给A+一个黄忠吧。
不是最好的时期，却遇到了最强的对手。
巅峰期的黄忠，未必打不过吕布赵云。




",都来讨论下，用三国武将来对应如今的职业选手，你觉得谁像谁？,英雄该有梦
"



有我4AM的地方就有高光时刻，绝地背景板成了




",[虎扑吃鸡亮图组]PCPI决赛绝地岛导游图（FPP）：狮子搏兔，君临天下OMG,加油站胖子
"



龟龟，这都不忘把我7酱拉出来，总之一句话，柏林见，三军用命，拼！！！
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,旧城故土
"



GODV去拿回属于你的世界冠军
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,香槟星
"



作为粉丝真的是解气前几天被喷的这么惨电子竞技菜是原罪今天真的是扬眉吐气
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,23乔丹詹姆斯23
"



全场最佳（笑点）——孤存
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,Devil_chen
"



阿鲁卡：FPP冠军，TPP随意。反向发言了解一下。。。牛逼。。。
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,PM97Ariana
"



莉莉功不可没，打醒四只猪，猪头的电竞人生真的太戏剧了，令人唏嘘不已，期待反向雷。
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,小榄大废人
"



圣经安排上了？？？
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,宇宇宇宇宇wzy
"



引用5楼 @旧城故土 发表的:龟龟，这都不忘把我7酱拉出来，总之一句话，柏林见，三军用命，拼！！！那个圈叫我去，我怎么去啊。对面一直进我们房区，干嘛要去楼外
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,蟒茫蚺然
"



作为ifty的粉丝，很气啊，谁去柏林谁是狗！关系最近的三个战队就ifty变成了留守儿童！加油吧！愿你们在柏林一切顺利。打出自己的风采。再拿一次国际比赛的冠军。
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,PLUSVABLE
"



引用9楼 @宇宇宇宇宇wzy 发表的:圣经安排上了？？？吃鸡区的人可能没多少人知道LOL的梗吧猪头:阿鲁这个人思想出了问题阿鲁：圈一直瞎J8乱切，我怎么指挥嘛（摊手）




",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,moonk213
"



韦神：我的话自己看看视频什么东西的，鲁哥应该就是看虎扑，看别人给他发的微博私信然后就是，哼，不会玩游戏下一个，哼，不会玩游戏，下一个。鲁哥还是真实的啊
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,抹茶布丁加点糖
"



来了，还是来了




",[虎扑吃鸡亮图组]PCPI决赛绝地岛导游图（FPP）：狮子搏兔，君临天下OMG,八卦仙
"



吱吱吱，很详细的总汇
发自虎扑iPhone客户端



",[虎扑吃鸡亮图组]PCPI决赛绝地岛导游图（FPP）：狮子搏兔，君临天下OMG,omg小狮子的小狐狸
"



还有一个最重要的点，绝地求生点。月湖畔上方的点




",[虎扑吃鸡亮图组]PCPI决赛绝地岛导游图（FPP）：狮子搏兔，君临天下OMG,崔钰珂阿丶
"



4AM加油，气的孤存想喷人。4AM这次也算证明自己，我们也不是全靠流量吃饭的！




",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,ywzq的十三
"



孤存：我其实有两条蓝色的裤子，看起来很像，但是不一样的。孤少认真的样子真口耐
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,kobechao08
"



引用5楼 @旧城故土 发表的:龟龟，这都不忘把我7酱拉出来，总之一句话，柏林见，三军用命，拼！！！
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,QQME11
"



引用9楼 @宇宇宇宇宇wzy 发表的:圣经安排上了？？？下路叫我去，我怎么去嘛，摊手
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,77kuku77ku
"



阿鲁卡：高德伟一直催我选点，我怎么选啊。




",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,怀沙汨罗
"



孤存即颜值担当之后又担任搞笑担当
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,Rdmiya
"



刺激不孤少。。
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,1197宰蜂蜜
"



存存:我有两条蓝色裤子，笔记本记下来，要考的
发自手机虎扑 m.hupu.com



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,等等将来的喵
"



引用5楼 @旧城故土 发表的:龟龟，这都不忘把我7酱拉出来，总之一句话，柏林见，三军用命，拼！！！LPL酱字辈还是有排面的
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,只能设置一次的昵称
"



和楼主观点相同，本来是很期待看到一个新面孔去国际舞台的。




",致vta：王侯将相宁有种乎？,秘蓝岛
"



引用1楼 @23乔丹詹姆斯23 发表的:作为粉丝真的是解气前几天被喷的这么惨电子竞技菜是原罪今天真的是扬眉吐气像及了16年破釜沉舟的骑士，不说了，怀念欧文在骑士的日子，可惜各自为战，愿你骑今年夺冠
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,欧文密密嘿
"



Q：在比赛前有没有给自己定下什么目标？阿鲁卡：FPP冠军，TPP随意。真实
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,ooger
"



引用1楼 @23乔丹詹姆斯23 发表的:作为粉丝真的是解气前几天被喷的这么惨电子竞技菜是原罪今天真的是扬眉吐气真的，第二天晚上我都自闭了，看别人说什么4atm，什么数一数二，什么堡垒之夜godv，很气，但是还没办法反驳，今天可真是扬眉吐气，让那群狗叫的闭嘴吧
发自虎扑iPhone客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,wtnt
"



引用9楼 @宇宇宇宇宇wzy 发表的:圣经安排上了？？？喂！老板！我没骂他，上局也没骂他。你怎么回事啊？第三个圈刷了不去，第四个圈刷了也不去？你在想什么啊？   那个圈叫我去，我怎么去嘛！对面十七一直盯着打靶。
发自虎扑Android客户端



",[流言板]虎扑专访4AM：想亲一下奖杯，感谢粉丝的支持和鞭策,名字长一定很厉害
"



最早的直播间标题:一只耳
发自手机虎扑 m.hupu.com



",我想吹一波醒皇,宰房v
"



被韦酱带进坑的，但4am里最喜欢醒目，其次才是其他人。怎么说呢，醒目是4am里最不起眼的一个，也是最容易背锅的一个。作为一名选手，他确实有不好的地方，比如有时候小失误很多，枪法很吃状态。在这种流量大队一发挥不好就被无限放大，刚好醒目性格又好，没见他发过脾气。有时候他没打好，自己直播间弹幕疯狂喷他，他看了也不回嘴，我看着挺心疼的。说实话，醒目的天赋并不肉眼可见，也缺少一丝灵性，否则他打LOL的时候就应该出人头地。但我觉得他是最适合4am的，勤恳，听话，无私奉献。搜完机场把三级头和倍镜往地上一丢，给把m4就能喂饱的选手，实在不要过于苛责了。如果4am里每个人都是17shou 211这种水平的会好吗？当然好。可是没如果，所以我觉得对于4am醒目就是最好的，每个队员都是最好的。SLi的时候醒目发了条微博，说自己也想站在领奖台上面。今晚终于站在了领奖台上，拿到了一个分量十足的冠军，不知道他什么感觉。应该是他坎坷职业生涯的第一个大冠军吧，希望以后还有很多个。4am德国加油！
发自虎扑iPhone客户端



",我想吹一波醒皇,RNGAY
"



如果真是楼主所言，他近战不强可以理解了
发自虎扑iPhone客户端



",我想吹一波醒皇,有点意思耶
"



老粉都知道吧，cpt以前是队里狙击手，个人比较吃状态，状态好了也是乱杀。耳朵的问题影响的不仅仅是贴身肉搏，其他信息收集也比较吃亏，佩服godv，对兄弟还是很信任的。也佩服4am，fpp垫底，被211“清理门户”1穿4，tpp最后一把落后500分绝地求生，破釜沉舟摆下长蛇阵人头吃鸡全都要，抓住最后一线生机，逃出生天，牛逼牛逼。
发自虎扑Android客户端



",我想吹一波醒皇,终极一击
"



引用8楼 @ywzq的十三 发表的:这个是真的还是假的？感觉不像阿，如果是真的也太恐怖了吧！是真的…我认识醒目好几年了
发自虎扑iPhone客户端



",我想吹一波醒皇,电竞了解一下
"



引用10楼 @电竞了解一下 发表的:是真的…我认识醒目好几年了难怪感觉贴身肉搏老是不能开提前枪，以为是菜，原来是这个原因。真的挺感动的，FPS游戏失聪一个耳朵等于少了只眼睛。
发自虎扑Android客户端



",我想吹一波醒皇,ywzq的十三
"



这个失聪很久以前就在直播说过很多次了，除了阿鲁卡，吹谁都没意见🤓
发自虎扑iPhone客户端



",我想吹一波醒皇,各种理智到不行
"



怪不得总感觉近战的时候，哪里显得不对劲，尤其在巷战的时候
发自虎扑Android客户端



",我想吹一波醒皇,静逸止水
"



引用3楼 @有点意思耶 发表的:如果真是楼主所言，他近战不强可以理解了近战不强是因为年龄大反应慢了 他都23周岁了 经常提前开镜架好位置但是人露头了还没人家开枪快 所以莉莉和大哥的近战能力更让人佩服啊
发自虎扑iPhone客户端



",我想吹一波醒皇,捌月Jesus
"



引用10楼 @电竞了解一下 发表的:是真的…我认识醒目好几年了是你吗山泥若
发自虎扑Android客户端



",我想吹一波醒皇,xexe2002
"



不是永久失聪 不过确实有一个耳朵听力有问题 对于听脚步没啥问题 他自己也说了没影响 没必要靠这个求同情 我从他yg就看 后来经常和shinyruo一起搞 电棍守夜他在旁边打呼噜 当时还有混烟巨兽也一起住
发自虎扑iPhone客户端



",我想吹一波醒皇,捌月Jesus
"



怎么可能，全世界一共就20支队，你以为别的赛区也是tpp和fpp一起打吗




",请教一下德国的决赛的问题,东凡7911
"



我感觉17三个人去剃光头比较好玩
发自虎扑iPhone客户端



",你希望的最终出线结局是怎么样的？,丁丁奇遇鸡
"



17要是赢了我就剃光头_(:D)∠)_
发自虎扑Android客户端



",你希望的最终出线结局是怎么样的？,橘政宗丶
"



4am吧 他们又可以好好的直播了
发自虎扑iPhone客户端



",你希望的最终出线结局是怎么样的？,哈登登登登登
"



17如果去了德国，我也剃光头，立帖为证，欢迎点亮




",你希望的最终出线结局是怎么样的？,17shOuNB
"



XQ吧，sss打tpp很迷
发自虎扑Android客户端



",你希望的最终出线结局是怎么样的？,卡卡西啦啦
"



4am和omg 记住我id
发自虎扑iPhone客户端



",你希望的最终出线结局是怎么样的？,青岛科密
"



对不起你吗呢 路还长
发自虎扑iPhone客户端



",兽兽你没有对不起任何人。,JoeyZhang159210
"



从来不回复的我 看到这句对不起心酸了
发自虎扑Android客户端



",兽兽你没有对不起任何人。,大婶借过丶
"



比赛虽然输了 但是17的进步以及成长是可贵的从以前的shou逼绝对输出  到现在已经全民皆兵 从这次击杀榜前5三人上榜就可以看出 17真的越来越成熟 越来越稳定 这一点是值得欣慰的 期待下一次的大型比赛 17up
发自虎扑iPhone客户端



",兽兽你没有对不起任何人。,Lx8528
"



看到这三个字。。不顾室友。。直接哭出声
发自虎扑Android客户端



",兽兽你没有对不起任何人。,向井户爱花彡
"



兽兽你没有对不起任何人。
发自虎扑Android客户端



",兽兽你没有对不起任何人。,17upupupup
"



17兽加油，来日方长
发自虎扑Android客户端



",兽兽你没有对不起任何人。,童子一刀切
"



也恭喜4am 占据天时地利人和 打得酣畅淋漓 
发自虎扑iPhone客户端



",兽兽你没有对不起任何人。,Lx8528
"



17粉觉得巨TM的有排面！！！！！已经很棒很棒很棒很棒了！！！！
发自虎扑Android客户端



",兽兽你没有对不起任何人。,感动常在-
"



看的心碎，一句对不起，这个男人是怎样的失落
发自虎扑Android客户端



",兽兽你没有对不起任何人。,隐姓埋名王文成
"



你说你吗呢？17shou不会哭，也不会说对不起！
发自虎扑Android客户端



",兽兽你没有对不起任何人。,镰刀刂
"



不必抱歉 希望臭小子们化悲痛为力量 砥砺前行 给我们17粉赢得排面
发自虎扑iPhone客户端



",兽兽你没有对不起任何人。,Lx8528
"



引用17楼 @向井户爱花彡 发表的:看到这三个字。。不顾室友。。直接哭出声看笑了  抱歉
发自虎扑Android客户端



",兽兽你没有对不起任何人。,大泼墨留白小
"



阿鲁才是真实，这个点居然关心的是101，我佛了
发自虎扑Android客户端



",蜜蜂仔这也太真实了哈哈哈,打烂你的冼澡盆x
"



转几张sy微博的图😂
发自虎扑iPhone客户端



",蜜蜂仔这也太真实了哈哈哈,qq438521252
"



猪头坐K神旁边是在说悄悄话吗？要不要当第九个愤怒的男人？你看阿鲁和醒目就偷偷把孤少围起来防止被递小纸条。




",蜜蜂仔这也太真实了哈哈哈,鄯善大魔王
"



引用9楼 @虎大将军是谁 发表的:两万？？？怎么一顿饭两万？？？上海，洋房火锅 人均小费一千五 了解一下
发自虎扑Android客户端



",蜜蜂仔这也太真实了哈哈哈,阿苏苏的苏丶
"



去买单的....
发自虎扑iPhone客户端



",蜜蜂仔这也太真实了哈哈哈,露露露露噜啊噜
"



引用5楼 @打烂你的冼澡盆x 发表的:阿鲁才是真实，这个点居然关心的是101，我佛了这个崽种！！！我鲁哥真他妈真实
发自虎扑Android客户端



",蜜蜂仔这也太真实了哈哈哈,Wendy444
"



开车去买单细节
发自虎扑Android客户端



",蜜蜂仔这也太真实了哈哈哈,1197宰蜂蜜
"



有钱，有时间得好好请大哥一次。
发自虎扑Android客户端



",蜜蜂仔这也太真实了哈哈哈,一如既往史来客
"



真的打不过，强队就是强队，服了
发自虎扑Android客户端



",关于本次PCPI最后一局的真相,VTA_AKM
"



赛前没想到你们能表现那么好。天道酬勤。继续加油吧。告诉你的队员喷子黑破天掉不了他们一根毛。电子竞技实力说话。以后拿了冠军看谁脸疼。
发自手机虎扑 m.hupu.com



",关于本次PCPI最后一局的真相,鸡鸡大过头
"



引用6楼 @一叶知冬暖 发表的:4am也是和你们一样的选择,只不过更苛刻,首先17要在10名开外,你们要5名开外,4am必须吃鸡并且杀人要在15杀左右然后4am亲自终结掉了17和vta，当时我就意识到奇迹要发生了
发自虎扑Android客户端



",关于本次PCPI最后一局的真相,玩足球篮球的Leon
"



引用4楼 @J6D111 发表的:后面的2 2也是战术吗？赌圈，其他地方也没位置站了
发自虎扑Android客户端



",关于本次PCPI最后一局的真相,VTA_AKM
